#Angle Scan MOKE
#
#21.07.2002 , 17:19
#
#Notes
#
#Self Calib (Volt)	"VOLT:DC"
-1.000000E+0	-1.322037E-2
-9.899497E-1	-1.322111E-2
-9.798995E-1	-1.322071E-2
-9.698492E-1	-1.322009E-2
-9.597990E-1	-1.322014E-2
-9.497487E-1	-1.322060E-2
-9.396985E-1	-1.321957E-2
-9.296482E-1	-1.322077E-2
-9.195980E-1	-1.321997E-2
-9.095477E-1	-1.322054E-2
-8.994974E-1	-1.322077E-2
-8.894472E-1	-1.322105E-2
-8.793970E-1	-1.322037E-2
-8.693467E-1	-1.322202E-2
-8.592964E-1	-1.321992E-2
-8.492462E-1	-1.321974E-2
-8.391960E-1	-1.321963E-2
-8.291457E-1	-1.321929E-2
-8.190954E-1	-1.322060E-2
-8.090452E-1	-1.322048E-2
-7.989950E-1	-1.321895E-2
-7.889447E-1	-1.321878E-2
-7.788944E-1	-1.322054E-2
-7.688442E-1	-1.322026E-2
-7.587940E-1	-1.321815E-2
-7.487437E-1	-1.321963E-2
-7.386934E-1	-1.321878E-2
-7.286432E-1	-1.321832E-2
-7.185929E-1	-1.321895E-2
-7.085427E-1	-1.321695E-2
-6.984924E-1	-1.321860E-2
-6.884422E-1	-1.321775E-2
-6.783919E-1	-1.321741E-2
-6.683417E-1	-1.321804E-2
-6.582914E-1	-1.321656E-2
-6.482412E-1	-1.321712E-2
-6.381909E-1	-1.321769E-2
-6.281407E-1	-1.321798E-2
-6.180905E-1	-1.321900E-2
-6.080402E-1	-1.321923E-2
-5.979899E-1	-1.321707E-2
-5.879397E-1	-1.321673E-2
-5.778894E-1	-1.321695E-2
-5.678391E-1	-1.321655E-2
-5.577889E-1	-1.321616E-2
-5.477387E-1	-1.321684E-2
-5.376884E-1	-1.321616E-2
-5.276381E-1	-1.321747E-2
-5.175879E-1	-1.321747E-2
-5.075377E-1	-1.321712E-2
-4.974874E-1	-1.321593E-2
-4.874372E-1	-1.321547E-2
-4.773869E-1	-1.321695E-2
-4.673367E-1	-1.321610E-2
-4.572864E-1	-1.321559E-2
-4.472362E-1	-1.321729E-2
-4.371859E-1	-1.321672E-2
-4.271357E-1	-1.321695E-2
-4.170854E-1	-1.321655E-2
-4.070352E-1	-1.321690E-2
-3.969849E-1	-1.321746E-2
-3.869347E-1	-1.321650E-2
-3.768844E-1	-1.321547E-2
-3.668342E-1	-1.321724E-2
-3.567839E-1	-1.321513E-2
-3.467337E-1	-1.321581E-2
-3.366834E-1	-1.321672E-2
-3.266332E-1	-1.321519E-2
-3.165829E-1	-1.321541E-2
-3.065327E-1	-1.321638E-2
-2.964824E-1	-1.321672E-2
-2.864321E-1	-1.321576E-2
-2.763819E-1	-1.321507E-2
-2.663316E-1	-1.321536E-2
-2.562814E-1	-1.321496E-2
-2.462312E-1	-1.321484E-2
-2.361809E-1	-1.321502E-2
-2.261306E-1	-1.321541E-2
-2.160804E-1	-1.321541E-2
-2.060301E-1	-1.321462E-2
-1.959799E-1	-1.321576E-2
-1.859296E-1	-1.321462E-2
-1.758794E-1	-1.321564E-2
-1.658291E-1	-1.321399E-2
-1.557789E-1	-1.321388E-2
-1.457286E-1	-1.321393E-2
-1.356784E-1	-1.321553E-2
-1.256281E-1	-1.321302E-2
-1.155779E-1	-1.321450E-2
-1.055276E-1	-1.321502E-2
-9.547738E-2	-1.321376E-2
-8.542714E-2	-1.321456E-2
-7.537688E-2	-1.321473E-2
-6.532663E-2	-1.321490E-2
-5.527638E-2	-1.321308E-2
-4.522613E-2	-1.321371E-2
-3.517588E-2	-1.321371E-2
-2.512563E-2	-1.321371E-2
-1.507538E-2	-1.321342E-2
-5.025126E-3	-1.321359E-2
5.025126E-3	-1.321194E-2
1.507538E-2	-1.321342E-2
2.512563E-2	-1.321382E-2
3.517588E-2	-1.321388E-2
4.522613E-2	-1.321382E-2
5.527638E-2	-1.321405E-2
6.532663E-2	-1.321405E-2
7.537688E-2	-1.321308E-2
8.542714E-2	-1.321240E-2
9.547738E-2	-1.321353E-2
1.055276E-1	-1.321217E-2
1.155779E-1	-1.321348E-2
1.256281E-1	-1.321302E-2
1.356784E-1	-1.321234E-2
1.457286E-1	-1.321200E-2
1.557789E-1	-1.321166E-2
1.658291E-1	-1.321308E-2
1.758794E-1	-1.321052E-2
1.859296E-1	-1.321023E-2
1.959799E-1	-1.318803E-2
2.060301E-1	-1.308690E-2
2.160804E-1	-1.303526E-2
2.261306E-1	-1.302854E-2
2.361809E-1	-1.302638E-2
2.462312E-1	-1.302689E-2
2.562814E-1	-1.302484E-2
2.663316E-1	-1.302627E-2
2.763819E-1	-1.302558E-2
